shipment_order_no,origin_sub_district_id,destination_sub_district_id,origin_subdistrict_name,origin_postal_code,destination_subdistrict_name,destination_postal_code,min_duration,max_duration,rate_code,min_sla_api,max_sla_api
TRD2023030907845,45067,28576,Sumur Batu,17148,Kawasi,97792,10,1,REG23,,
TRD2023031006508,79938,33288,Padang Terubuk,28155,Segati,28381,10,1,REG23,,
TRD2023031006511,79938,33288,Padang Terubuk,28155,Segati,28381,10,1,REG23,,
TRD2023031006677,3047,4141,Padangsambian Klod/Kelod,80117,Alak,85231,1,2,REG23,,
TRD2023031007750,2046,34115,Bunigeulis,45556,Tuban,80361,1,2,REG23,,
TRD2023031007757,2046,19522,Bunigeulis,45556,Lamika,86219,5,9,REG23,,
TRD2023031008623,22156,2285,Pengambangan,70237,Tepian Makmur,75683,5,6,REG23,,
TRD2023031008836,45067,22790,Sumur Batu,17148,Konda,98454,5,7,REG23,,
TRD2023031105989,3047,19522,Padangsambian Klod/Kelod,80117,Lamika,86219,5,6,REG23,,
TRD2023031106061,45067,22790,Sumur Batu,17148,Konda,98454,5,7,REG23,,
TRD2023031309802,79938,33288,Padang Terubuk,28155,Segati,28381,10,1,REG23,,
TRD2023031310519,45067,34115,Sumur Batu,17148,Tuban,80361,1,2,REG23,,
TRD2023031310618,45067,22790,Sumur Batu,17148,Konda,98454,5,7,REG23,,
TRD2023031310826,49964,12337,Grogol,11450,Jaya Makmur,84383,10,1,REG23,,
TRD2023031311873,45067,38155,Sumur Batu,17148,Muara Ratah,75779,5,7,REG23,,
TRD2023031405476,45067,19522,Sumur Batu,17148,Lamika,86219,5,9,REG23,,
TRD2023031407243,45067,3749,Sumur Batu,17148,Pondok Butun,72211,3,5,REG23,,
TRD2023031513281,79938,33288,Padang Terubuk,28155,Segati,28381,10,1,REG23,,
