No.,Nama Logistic,Kode Pos Asal,Kode Pos Tujuan,Ongkir,Rate Code,Rate Type
1,JNE,74413,74161,19000,OKE19,reguler
2,J&T Express,22611,25673,40000,EZ,reguler
3,JNE,90911,93411,49000,OKE19,reguler
4,SiCepat,22611,28763,34500,SIUNT,reguler
5,JNE,30711,31311,15000,OKE19,reguler
6,J&T Express,30711,29111,50000,EZ,reguler
7,JNE,90911,92711,20000,OKE19,reguler
8,J&T Express,30711,34157,38000,EZ,reguler
9,SiCepat,22611,20511,11500,SIUNT,reguler
10,SiCepat,22611,20995,11500,SIUNT,reguler
11,J&T Express,30711,34194,38000,EZ,reguler
12,J&T Express,30711,34157,38000,EZ,reguler
13,J&T Express,30711,31661,18000,EZ,reguler
14,JNE,30711,30611,15000,OKE19,reguler
15,J&T Express,30711,31411,15000,EZ,reguler
16,JNE,30711,30111,15000,OKE19,reguler
17,J&T Express,30711,35611,38000,EZ,reguler
18,JNE,96254,95231,25000,OKE19,reguler
19,J&T Express,74413,75511,41000,EZ,reguler
20,JNE,22611,24184,42000,OKE19,reguler
21,J&T Express,96254,94356,67000,EZ,reguler
22,SiCepat,22611,20811,11500,SIUNT,reguler
23,SiCepat,22611,28811,25000,SIUNT,reguler
24,JNE,96254,94711,60000,OKE19,reguler
25,SiCepat,22611,24261,31000,SIUNT,reguler
26,JNE,30711,30655,15000,OKE19,reguler
27,SiCepat,22611,21455,25000,SIUNT,reguler
28,SiCepat,22611,28557,25000,SIUNT,reguler
29,SiCepat,22611,20111,8500,SIUNT,reguler
30,JNE,90911,90711,20000,OKE19,reguler
31,J&T Express,90911,92111,14000,EZ,reguler
32,J&T Express,30711,34611,38000,EZ,reguler
33,JNE,30711,33214,39000,OKE19,reguler
34,J&T Express,74413,79513,42000,EZ,reguler
35,JNE,90911,90611,15000,OKE19,reguler
36,SiCepat,22611,20511,11500,SIUNT,reguler
37,JNE,30711,34877,40000,OKE19,reguler
38,JNE,30711,35111,30000,OKE19,reguler
39,SiCepat,22611,23242,21000,SIUNT,reguler
40,JNE,96254,96112,24000,OKE19,reguler
41,JNE,90911,91121,17000,OKE19,reguler
42,JNE,30711,36611,37000,OKE19,reguler
43,J&T Express,30711,34194,38000,EZ,reguler
44,SiCepat,22611,20511,11500,SIUNT,reguler
45,JNE,90911,93771,49000,OKE19,reguler
46,JNE,30711,37311,37000,OKE19,reguler
47,SiCepat,22611,28411,25000,SIUNT,reguler
48,J&T Express,74413,78243,29000,EZ,reguler
49,SiCepat,22611,21464,25000,SIUNT,reguler
50,J&T Express,30711,31411,15000,EZ,reguler
51,J&T Express,30711,29111,50000,EZ,reguler
52,JNE,30711,30655,15000,OKE19,reguler
53,SiCepat,22611,20511,11500,SIUNT,reguler
54,SiCepat,22611,21255,11500,SIUNT,reguler
55,J&T Express,90911,93571,57000,EZ,reguler
56,SiCepat,22611,27411,26000,SIUNT,reguler
57,JNE,30711,36364,42000,OKE19,reguler
58,J&T Express,30711,33411,44000,EZ,reguler
59,J&T Express,96254,94561,68000,EZ,reguler
60,SiCepat,22611,24416,25000,SIUNT,reguler
61,SiCepat,22611,20111,8500,SIUNT,reguler
62,JNE,30711,37162,42000,OKE19,reguler
63,JNE,30711,36128,32000,OKE19,reguler
64,SiCepat,22611,21161,11500,SIUNT,reguler
65,SiCepat,22611,20511,11500,SIUNT,reguler
66,J&T Express,74413,70117,22000,EZ,reguler
67,J&T Express,96254,77211,106000,EZ,reguler
68,J&T Express,74413,78391,33000,EZ,reguler
69,JNE,30711,31654,20000,OKE19,reguler
70,ID Express,30711,29427,40000,iDSTD,reguler
71,J&T Express,90911,94111,36000,EZ,reguler
72,JNE,30711,33783,39000,OKE19,reguler
73,JNE,30711,38375,45000,OKE19,reguler
74,JNE,30711,31654,20000,OKE19,reguler
75,SiCepat,22611,28811,25000,SIUNT,reguler
76,J&T Express,74413,75311,32000,EZ,reguler
77,JNE,96254,96362,31000,OKE19,reguler
78,SiCepat,22611,28711,34500,SIUNT,reguler
79,J&T Express,74413,75511,41000,EZ,reguler
80,JNE,30711,32156,20000,OKE19,reguler
81,JNE,30711,33312,39000,OKE19,reguler
82,SiCepat,22611,21161,11500,SIUNT,reguler
83,J&T Express,74413,73881,32000,EZ,reguler
84,JNE,96254,95811,39000,OKE19,reguler
