No,shipment_order_no,origin_subdistrict_name,origin_postal_code,destination_subdistrict_name,destination_postal_code,min_duration,max_duration,rate_code
1,TRD2022120201367,Jelambar Baru,11460,Abeli,93234,2,4,UDRREG
2,TRD2022120201393,Jelambar Baru,11460,Abeli,93234,2,4,UDRREG
3,TRD2022120201360,Jelambar Baru,11460,Air Kepala Tujuh,33123,2,4,UDRREG
4,TRD2022120201397,Jelambar Baru,11460,Ara Tonton Moncrang,24386,2,4,UDRREG
5,TRD2022120201364,Jelambar Baru,11460,Argasunya,45145,2,4,UDRREG
6,TRD2022120201352,Jelambar Baru,11460,Awak Kawasik,91855,2,4,UDRREG
7,TRD2022120201441,Jelambar Baru,11460,Babura Sunggal,20121,2,4,UDRREG
8,TRD2022120201417,Jelambar Baru,11460,Baciro,55225,2,4,UDRREG
9,TRD2022120201412,Jelambar Baru,11460,Badak Anom,15560,2,4,UDRREG
10,TRD2022120201390,Jelambar Baru,11460,Bah Lias,21184,2,4,UDRREG
11,TRD2022120201369,Jelambar Baru,11460,Bantul,55711,2,4,UDRREG
12,TRD2022120201353,Jelambar Baru,11460,Barejulat,83511,2,4,UDRREG
13,TRD2022120201429,Jelambar Baru,11460,Bareng,65116,2,4,UDRREG
14,TRD2022120201375,Jelambar Baru,11460,Baru,74113,2,4,UDRREG
15,TRD2022120201382,Jelambar Baru,11460,Batangkaluku,92117,2,4,UDRREG
16,TRD2022120201427,Jelambar Baru,11460,Batu Ampar,76136,2,4,UDRREG
17,TRD2022120201370,Jelambar Baru,11460,Batudulang,84361,2,4,UDRREG
18,TRD2022120201437,Jelambar Baru,11460,Batunampar,83672,2,4,UDRREG
19,TRD2022120201350,Jelambar Baru,11460,Beji,16431,2,4,UDRREG
20,TRD2022120201434,Jelambar Baru,11460,Bengkaung,83355,2,4,UDRREG
21,TRD2022120201372,Jelambar Baru,11460,Beraim,83582,2,4,UDRREG
22,TRD2022120201405,Jelambar Baru,11460,Bintara,17134,2,4,UDRREG
23,TRD2022120201373,Jelambar Baru,11460,Blotongan,50715,2,4,UDRREG
24,TRD2022120201387,Jelambar Baru,11460,Bone Bone,91753,2,4,UDRREG
25,TRD2022120201384,Jelambar Baru,11460,Bukit Duri,12840,1,2,UDRREG
26,TRD2022120201422,Jelambar Baru,11460,Buliang,29438,2,4,UDRREG
27,TRD2022120201391,Jelambar Baru,11460,Bunut,74162,2,4,UDRREG
28,TRD2022120201368,Jelambar Baru,11460,Burangkeng,17320,2,4,UDRREG
29,TRD2022120201348,Jelambar Baru,11460,Cibadak,40241,2,4,UDRREG
30,TRD2022120201407,Jelambar Baru,11460,Cimuncang,42111,2,4,UDRREG
31,TRD2022120201389,Jelambar Baru,11460,Cinta Damai (Dame),20371,2,4,UDRREG
32,TRD2022120201438,Jelambar Baru,11460,Cipenjo,16820,2,4,UDRREG
33,TRD2022120201395,Jelambar Baru,11460,Ciporang,45514,2,4,UDRREG
34,TRD2022120201406,Jelambar Baru,11460,Dagan,62265,2,4,UDRREG
35,TRD2022120201388,Jelambar Baru,11460,Dayah Lb/Lt,24382,2,4,UDRREG
36,TRD2022120201394,Jelambar Baru,11460,DR. Soetomo,60264,2,4,UDRREG
37,TRD2022120201356,Jelambar Baru,11460,Dumai Kota,28811,2,4,UDRREG
38,TRD2022120201381,Jelambar Baru,11460,Empat Koto Pulau Punjung,27573,2,4,UDRREG
39,TRD2022120201420,Jelambar Baru,11460,Faobata,86419,2,4,UDRREG
40,TRD2022120201414,Jelambar Baru,11460,Garuda,40184,2,4,UDRREG
41,TRD2022120201354,Jelambar Baru,11460,Gembong,15610,2,4,UDRREG
42,TRD2022120201385,Jelambar Baru,11460,Gentungan,57752,2,4,UDRREG
