No,shipment_order_no,logistic_name,origin_postal_code,destination_postal_code,awb_number,min_sla_api,max_sla_api
1,TRD2022100101596,JNE,17148,40226,0733272200551272,1,2
2,TRD2022100101612,JNE,17148,52181,0733272200551611,2,3
3,TRD2022100101628,JNE,17148,73814,0733272200551967,5,7
4,TRD2022100101630,JNE,17148,14320,0733272200551017,1,2
5,TRD2022100101632,JNE,17148,77554,0733272200551132,3,5
6,TRD2022100101633,JNE,17148,86682,0733272200552288,1,10
7,TRD2022100101635,JNE,17148,64118,0733272200551173,1,2
8,TRD2022100101641,JNE,17148,42185,0733272200551439,3,6
9,TRD2022100101659,JNE,17148,26224,0733272200551413,3,6
10,TRD2022100101660,JNE,17148,93885,0733272200552254,5,7
11,TRD2022100101667,JNE,17148,92511,0733272200552155,5,7
12,TRD2022100101678,JNE,17148,86472,0733272200551330,1,10
13,TRD2022100101687,JNE,17148,94619,0733272200552007,3,5
14,TRD2022100101695,JNE,17148,70714,0733272200552353,3,5
15,TRD2022100101700,JNE,17148,91681,0733272200551462,5,7
16,TRD2022100101707,,17148,98355,0733272200552650,,
17,TRD2022100101714,JNE,17148,20371,0733272200551835,3,6
18,TRD2022100101717,JNE,17148,51216,0733272200551280,3,6
19,TRD2022100101718,JNE,17148,77554,0733272200551744,3,5
20,TRD2022100101724,JNE,17148,99373,0733272200551900,6,9
21,TRD2022100101726,JNE,17148,21184,0733272200551983,3,6
22,TRD2022100101739,JNE,17148,28781,0733272200552403,1,10
23,TRD2022100101743,JNE,17148,97751,0733272200552296,2,3
24,TRD2022100101746,JNE,17148,13910,0733272200551561,1,2
25,TRD2022100101748,JNE,17148,46122,0733272200552122,2,3
26,TRD2022100101760,JNE,17148,84455,0733272200552221,3,6
27,TRD2022100101767,JNE,17148,12430,0733272200551652,1,2
28,TRD2022100101768,JNE,17148,74356,0733272200552692,5,7
29,TRD2022100101852,JNE,45556,95251,2534902200731246,2,3
30,TRD2022100101861,JNE,45556,80582,2534902200731337,3,6
31,TRD2022100101862,JNE,45556,51162,2534902200731535,3,6
32,TRD2022100101865,JNE,45556,77372,2534902200731642,5,7
33,TRD2022100101872,JNE,45556,35365,2534902200731444,5,7
34,TRD2022100101879,JNE,45556,28784,2534902200731386,5,7
35,TRD2022100101890,JNE,45556,70852,2534902200731550,5,7
36,TRD2022100101891,JNE,45556,84316,2534902200731600,3,6
37,TRD2022100101893,JNE,45556,51252,2534902200731683,3,6
38,TRD2022100101896,JNE,45556,24357,2534902200731592,5,7
39,TRD2022100101900,JNE,45556,36761,2534902200731717,5,7
40,TRD2022100102074,JNE,17148,34396,0733272200552965,2,3
41,TRD2022100102187,JNE,45556,30962,2534902200732012,4,6
42,TRD2022100102189,JNE,45556,78361,2534902200732145,5,7
43,TRD2022100102191,JNE,45556,20112,2534902200732020,2,3
44,TRD2022100102203,JNE,45556,22865,2534902200732236,1,10
45,TRD2022100102204,JNE,45556,29427,2534902200732368,2,3
46,TRD2022100102208,JNE,45556,30967,2534902200732335,4,6
47,TRD2022100102225,JNE,45556,20121,2534902200732202,2,3
48,TRD2022100102235,JNE,45556,28291,2534902200732285,2,3
49,TRD2022100102242,JNE,45556,28772,2534902200732400,5,7
50,TRD2022100102248,JNE,45556,22219,2534902200732483,3,5
51,TRD2022100102253,JNE,45556,96114,2534902200732640,2,3
52,TRD2022100102264,JNE,45556,40395,2534902200732756,1,2
53,TRD2022100102270,JNE,45556,93413,2534902200732855,3,5
54,TRD2022100102374,JNE,17148,29452,0733272200553013,1,2
55,TRD2022100102380,JNE,17148,91999,0733272200553070,5,7
56,TRD2022100102382,JNE,17148,12560,0733272200553062,1,2
57,TRD2022100102385,JNE,17148,22111,0733272200553120,2,3
58,TRD2022100102386,JNE,17148,29438,0733272200553146,1,2
59,TRD2022100300550,JNE,17148,34511,0733272200553393,3,6
60,TRD2022100300551,JNE,17148,93118,0733272200553419,2,3
61,TRD2022100300562,JNE,17148,36129,0733272200553500,1,2
62,TRD2022100300569,JNE,17148,92763,0733272200553583,5,7
63,TRD2022100300595,JNE,17148,93461,0733342200055135,5,7
64,TRD2022100300652,JNE,17148,13310,0733272200553872,1,2
65,TRD2022100300657,JNE,17148,81119,0733272200553906,3,6
66,TRD2022100300658,JNE,17148,99352,0733272200553914,6,9
67,TRD2022100300661,JNE,17148,99511,0733272200553989,6,9
68,TRD2022100300664,JNE,17148,90243,0733272200553971,2,3
69,TRD2022100300667,JNE,17148,95694,0733272200554003,5,7
70,TRD2022100300674,JNE,17148,97611,0733272200554060,1,10
71,TRD2022100300675,JNE,17148,15720,0733272200554102,1,2
72,TRD2022100300681,JNE,17148,97721,0733272200554136,2,3
73,TRD2022100300690,JNE,17148,97794,0733272200554201,1,10
74,TRD2022100300691,JNE,17148,98415,0733272200554227,2,4
75,TRD2022100300693,JNE,17148,90552,0733272200554235,5,7
76,TRD2022100300698,JNE,17148,96118,0733272200554243,2,3
77,TRD2022100300702,JNE,17148,75325,0733272200554334,5,7
78,TRD2022100300722,JNE,17148,95537,0733272200554540,5,7
79,TRD2022100300734,JNE,17148,30757,0733272200554664,3,6
80,TRD2022100300735,JNE,17148,80225,0733272200554672,1,2
81,TRD2022100300738,JNE,17148,22474,0733272200554706,2,3
82,TRD2022100300740,JNE,17148,25132,0733272200554763,1,2
83,TRD2022100300749,JNE,17148,94221,0733272200554789,2,3
84,TRD2022100300751,JNE,17148,96212,0733272200554839,3,5
85,TRD2022100300752,JNE,17148,36554,0733272200554888,3,6
86,TRD2022100300753,JNE,17148,79461,0733272200554847,5,7
87,TRD2022100300917,JNE,45556,20215,2534902200735098,2,3
88,TRD2022100300938,JNE,45556,96266,2534902200735254,5,7
89,TRD2022100300949,JNE,45556,54191,2534902200735445,5,7
90,TRD2022100300950,JNE,45556,92315,2534902200735452,5,7
91,TRD2022100300960,JNE,45556,29466,2534902200735668,2,3
92,TRD2022100300964,JNE,45556,95694,2534902200735536,5,7
93,TRD2022100300971,JNE,45556,15510,2534902200735494,1,2
94,TRD2022100300976,JNE,45556,29354,2534902200735734,5,7
95,TRD2022100300989,JNE,45556,96212,2534902200735833,3,5
96,TRD2022100300994,JNE,45556,34166,2534902200735932,5,7
97,TRD2022100301004,JNE,45556,33681,2534902200735957,3,5
98,TRD2022100301006,JNE,45556,74291,2534902200735981,1,10
99,TRD2022100301009,JNE,45556,91611,2534902200736211,5,7
100,TRD2022100301011,JNE,45556,75552,2534902200735973,5,7
101,TRD2022100301019,JNE,45556,95352,2534902200736146,5,7
102,TRD2022100301020,JNE,45556,86116,2534902200736161,5,9
103,TRD2022100301025,JNE,45556,85116,2534902200736120,2,3
104,TRD2022100301026,JNE,45556,74511,2534902200736096,1,10
105,TRD2022100301027,JNE,45556,93352,2534902200736039,5,7
106,TRD2022100301029,JNE,45556,28991,2534902200736229,1,10
107,TRD2022100301053,JNE,17148,85116,0733272200554896,2,3
108,TRD2022100301057,JNE,17148,85717,0733272200554987,5,9
109,TRD2022100301064,JNE,17148,97853,0733272200555018,5,7
110,TRD2022100301067,JNE,17148,83365,0733272200555042,1,10
111,TRD2022100301073,JNE,17148,85717,0733272200555117,5,9
112,TRD2022100301080,JNE,17148,98457,0733272200555166,6,9
113,TRD2022100301084,JNE,17148,84251,0733272200555208,3,6
114,TRD2022100301086,JNE,17148,97464,0733272200555232,1,10
115,TRD2022100301087,JNE,17148,84172,0733272200555240,3,6
116,TRD2022100301113,JNE,17148,78863,0733272200555406,5,7
117,TRD2022100301118,JNE,17148,84191,0733272200555497,1,10
118,TRD2022100301119,JNE,17148,92714,0733272200555489,5,7
119,TRD2022100301121,JNE,17148,22163,0733272200555430,3,6
120,TRD2022100301125,JNE,17148,96212,0733272200555745,3,5
121,TRD2022100301139,JNE,17148,92511,0733272200555737,5,7
122,TRD2022100301170,JNE,17148,83571,0733272200556404,3,6
123,TRD2022100301171,JNE,17148,94146,0733272200556396,2,3
