No,shipment_order_no,awb_number,weight,origin_subdistrict,origin_postal_code,destination_subdistrict,destination_postal_code,rate_code,min_sla,max_sla,min_sla_api,max_sla_api
60001,TRD2022092701844,2534902200697124,1,Bunigeulis,45556,Beraim,83582,REG23,2,,,
60002,TRD2022092701865,2534902200697801,1,Bunigeulis,45556,Lariang,91571,REG23,5,,,
60003,TRD2022092701876,2534902200697025,1,Bunigeulis,45556,Ujong Baroh,23615,REG23,5,,,
60004,TRD2022092701910,2534902200697082,1,Bunigeulis,45556,Antang,90234,REG23,1,,,
60005,TRD2022092701951,2534902200698122,1,Bunigeulis,45556,Sekip Jaya,30114,REG23,2,,,
60006,TRD2022092702285,0733272200473725,1,Pekayon Jaya,17148,Lateri,97231,REG23,5,,,
60007,TRD2022092702290,0733272200473741,1,Pekayon Jaya,17148,Pelita Jaya,31611,REG23,2,,,
60008,TRD2022092702293,0733272200473824,1,Pekayon Jaya,17148,Tuva (Tuwa),94364,REG23,5,,,
60009,TRD2022092702303,0733272200473873,1,Pekayon Jaya,17148,Teluk Lingga,75683,REG23,3,,,
60010,TRD2022092702322,0733272200474087,1,Pekayon Jaya,17148,Keladen,76261,REG23,1,10,,
60011,TRD2022092702335,0733272200474194,1,Pekayon Jaya,17148,Bengkong Indah,29458,REG23,1,,,
60012,TRD2022092702362,0733272200474442,1,Pekayon Jaya,17148,Sabungan,21465,REG23,3,,,
60013,TRD2022092702413,0733272200474962,1,Pekayon Jaya,17148,Kubu Parak Karakah (Dalam),25126,REG23,1,,,
60014,TRD2022092702415,0733272200475050,1,Pekayon Jaya,17148,Batangkaluku,92117,REG23,2,,,
60015,TRD2022092702440,0733272200475357,1,Pekayon Jaya,17148,Kastura,93563,REG23,5,,,
60016,TRD2022092702467,0733272200476413,1,Pekayon Jaya,17148,Kisaran Naga,21219,REG23,2,,,
60017,TRD2022092702553,0733272200476454,1,Pekayon Jaya,17148,Amahai (Amaiiai),97516,REG23,1,10,,
60018,TRD2022092702606,0733272200476793,1,Pekayon Jaya,17148,Tapandullu,91512,REG23,5,,,
60019,TRD2022092702642,0733272200477239,1,Pekayon Jaya,17148,Banggae,91411,REG23,5,,,
60020,TRD2022092702654,0733272200477437,1,Pekayon Jaya,17148,Batangkaluku,92117,REG23,2,,,
60021,TRD2022092702740,0733272200478534,1,Pekayon Jaya,17148,Seberang Tembilahan Barat,29212,REG23,2,,,
60022,TRD2022092702752,0733272200478179,1,Pekayon Jaya,17148,Kalibaru,16414,REG23,1,,,
60023,TRD2022092702755,0733272200478187,1,Pekayon Jaya,17148,Aia Bangih,26573,REG23,3,,,
60024,TRD2022092702757,0733272200478203,1,Pekayon Jaya,17148,Kisaran Naga,21219,REG23,2,,,
60025,TRD2022092702765,0733272200478377,1,Pekayon Jaya,17148,Satui Barat,72275,REG23,5,,,
60026,TRD2022092702797,0733272200478583,1,Pekayon Jaya,17148,Beo Sepang,86754,REG23,5,,,
60027,TRD2022092702806,0733272200479102,1,Pekayon Jaya,17148,Galur,10530,REG23,1,,,
