No,shipment_order_no,origin_subdistrict_name,origin_postal_code,destination_subdistrict_name,destination_postal_code,min_duration,max_duration,rate_code
1,TRD2022070100575,Kelapa Dua,15810,Abianbase,80515,5,7,REG23
2,TRD2022070100577,Kelapa Dua,15810,Baru,94514,3,6,REG23
3,TRD2022070100580,Kelapa Dua,15810,Battembat,45153,5,7,REG23
4,TRD2022070100574,Kelapa Dua,15810,Bawang,56161,3,6,REG23
5,TRD2022070100581,Kelapa Dua,15810,Beji,65326,1,2,REG23
6,TRD2022070100584,Kelapa Dua,15810,Bira,90243,2,3,REG23
7,TRD2022070100571,Kelapa Dua,15810,Bunut,74162,1,2,REG23
8,TRD2022070100583,Kelapa Dua,15810,Candi,50257,2,3,REG23
9,TRD2022070100587,Kelapa Dua,15810,Colo,59353,3,6,REG23
10,TRD2022070100572,Kelapa Dua,15810,Gunung Panjang,75131,2,3,REG23
11,TRD2022070100576,Kelapa Dua,15810,Kuin Besar,70655,1,2,REG23
12,TRD2022070100582,Kelapa Dua,15810,Lenggo,91353,5,7,REG23
13,TRD2022070100586,Kelapa Dua,15810,Medan Sinembah,20362,2,3,REG23
14,TRD2022070100570,Kelapa Dua,15810,Palangka,73111,3,5,REG23
15,TRD2022070100578,Kelapa Dua,15810,Pangkalan Jati Baru,16513,1,2,REG23
16,TRD2022070100579,Kelapa Dua,15810,Panjer,80113,2,3,REG23
17,TRD2022070100569,Kelapa Dua,15810,Pematang Pudu,28784,1,2,REG23
18,TRD2022070100573,Kelapa Dua,15810,Sungai Langan,31315,5,7,REG23
19,TRD2022070100588,Kelapa Dua,15810,Talun,45321,1,2,REG23
20,TRD2022070100585,Kelapa Dua,15810,Tampumia Radda,91994,2,3,REG23
21,TRD2022070200390,Kelapa Dua,15810,Alam Jaya,15133,1,2,REG23
22,TRD2022070200394,Kelapa Dua,15810,Angke,11330,2,3,REG23
23,TRD2022070200386,Kelapa Dua,15810,Barusari,50245,3,6,REG23
24,TRD2022070200402,Kelapa Dua,15810,Candi,74181,1,2,REG23
25,TRD2022070200393,Kelapa Dua,15810,Hutatoruan V,22413,3,5,REG23
