No.,Nama Logistic,Kode Pos Asal,Kode Pos Tujuan,Ongkir,Rate Code,Rate Type
1,J&T Express,29511,22911,43000,EZ,reguler
2,ID Express,94974,96266,57000,iDSTD,reguler
3,ID Express,94974,90511,27000,iDSTD,reguler
4,JNE,29511,36514,39000,OKE19,reguler
5,ID Express,94974,91911,32000,iDSTD,reguler
6,JNE,29511,20511,33000,OKE19,reguler
7,ID Express,94974,96112,50000,iDSTD,reguler
8,JNE,29511,28911,14000,OKE19,reguler
9,J&T Express,73911,74172,63000,EZ,reguler
10,J&T Express,29511,34111,43000,EZ,reguler
11,J&T Express,29511,24311,63000,EZ,reguler
12,JNE,29511,22611,47000,OKE19,reguler
13,J&T Express,29511,35111,38000,EZ,reguler
14,J&T Express,73911,79465,99000,EZ,reguler
15,ID Express,94974,92412,32000,iDSTD,reguler
16,JNE,29511,20111,26000,OKE19,reguler
17,ID Express,94974,96112,50000,iDSTD,reguler
18,JNE,29511,39112,52000,OKE19,reguler
19,JNE,29511,28755,14000,OKE19,reguler
20,J&T Express,29511,24352,63000,EZ,reguler
21,JNE,29511,28811,12000,OKE19,reguler
22,JNE,29511,21211,33000,OKE19,reguler
23,JNE,29511,30611,41000,OKE19,reguler
24,JNE,29511,20511,33000,OKE19,reguler
25,J&T Express,73911,76111,33000,EZ,reguler
26,JNE,94974,94561,35000,REG19,reguler
27,J&T Express,73911,78557,102000,EZ,reguler
28,JNE,29511,30655,47000,OKE19,reguler
29,ID Express,94974,90111,27000,iDSTD,reguler
30,ID Express,94974,91512,32000,iDSTD,reguler
31,J&T Express,73911,78611,99000,EZ,reguler
32,JNE,29511,20111,26000,OKE19,reguler
33,JNE,29511,36128,26000,OKE19,reguler
34,JNE,29511,22611,47000,OKE19,reguler
35,J&T Express,73911,74261,53000,EZ,reguler
36,ID Express,94974,93711,45000,iDSTD,reguler
37,ID Express,94974,91371,33000,iDSTD,reguler
38,JNE,29511,28111,12000,OKE19,reguler
39,J&T Express,73911,75111,32000,EZ,reguler
40,JNE,29511,28411,12000,OKE19,reguler
41,JNE,29511,37571,39000,OKE19,reguler
42,JNE,29511,37311,33000,OKE19,reguler
43,JNE,29511,22111,33000,OKE19,reguler
44,JNE,29511,24476,77000,OKE19,reguler
45,J&T Express,29511,25111,24000,EZ,reguler
46,J&T Express,73911,75511,58000,EZ,reguler
47,ID Express,94974,90111,27000,iDSTD,reguler
48,JNE,29511,32184,47000,OKE19,reguler
49,JNE,29511,37211,39000,OKE19,reguler
50,J&T Express,29511,22711,37000,EZ,reguler
51,JNE,29511,26566,38000,OKE19,reguler
52,J&T Express,29511,34684,45000,EZ,reguler
53,JNE,29511,31511,41000,OKE19,reguler
54,J&T Express,29511,35376,46000,EZ,reguler
55,J&T Express,29511,29427,32000,EZ,reguler
56,JNE,29511,22211,33000,OKE19,reguler
57,ID Express,94974,96112,50000,iDSTD,reguler
