No,originCityName,originPostalCode,originLat,originLong,destinationPostalCode,destinationLat,destinationLong
1,Pontianak,78243,-0.099983,109.330533,22876,1.039533,97.529608
2,Pontianak,78243,-0.099983,109.330533,30711,-2.689627,104.380374
3,Pontianak,78243,-0.099983,109.330533,70611,-3.47219,114.8638
4,Pontianak,78243,-0.099983,109.330533,90711,-4.231866,119.672071
5,Pontianak,78243,-0.099983,109.330533,20511,3.480805,98.664792
6,Pontianak,78243,-0.099983,109.330533,90111,-5.147665,119.432731
7,Pontianak,78243,-0.099983,109.330533,78873,-1.88691,109.967179
8,Pontianak,78243,-0.099983,109.330533,29319,0.862682,102.731788
9,Pontianak,78243,-0.099983,109.330533,22911,0.847732,99.250065
10,Pontianak,78243,-0.099983,109.330533,28411,0.291466,101.143107
11,Pontianak,78243,-0.099983,109.330533,22727,1.369063,99.273018
12,Pontianak,78243,-0.099983,109.330533,28111,0.534482,101.447679
13,Pontianak,78243,-0.099983,109.330533,75111,-0.502106,117.153709
14,Pontianak,78243,-0.099983,109.330533,22742,-1.7854,99.100706
15,Pontianak,78243,-0.099983,109.330533,29211,-0.170646,102.530555
16,Pontianak,78243,-0.099983,109.330533,74361,-2.04596,112.297125
17,Pontianak,78243,-0.099983,109.330533,92711,-4.826803,120.052518
18,Pontianak,78243,-0.099983,109.330533,73761,-2.981434,114.570154
19,Pontianak,78243,-0.099983,109.330533,70815,-3.850749,116.270774
20,Pontianak,78243,-0.099983,109.330533,94971,0.900303,121.677543
21,Pontianak,78243,-0.099983,109.330533,93111,-3.995386,122.515081
22,Pontianak,78243,-0.099983,109.330533,21111,2.963409,99.060574
23,Pontianak,78243,-0.099983,109.330533,34194,-5.118196,105.708374
24,Pontianak,78243,-0.099983,109.330533,22311,2.371365,99.143379
25,Pontianak,78243,-0.099983,109.330533,24184,5.224226,96.156036
26,Pontianak,78243,-0.099983,109.330533,94971,0.900303,121.677543
27,Pontianak,78243,-0.099983,109.330533,94356,-0.423099,119.841901
28,Pontianak,78243,-0.099983,109.330533,27211,-0.453214,100.531948
29,Pontianak,78243,-0.099983,109.330533,35592,-5.51985,104.939981
30,Pontianak,78243,-0.099983,109.330533,23764,3.779372,97.609232
31,Pontianak,78243,-0.099983,109.330533,79465,1.403274,109.325107
32,Pontianak,78243,-0.099983,109.330533,30111,-2.987319,104.736009
33,Pontianak,78243,-0.099983,109.330533,79513,0.004029,110.939268
34,Pontianak,78243,-0.099983,109.330533,22611,1.815388,98.883182
35,Pontianak,78243,-0.099983,109.330533,24413,4.676605,97.90675
36,Pontianak,78243,-0.099983,109.330533,78557,0.13477,110.592349
37,Pontianak,78243,-0.099983,109.330533,31311,-3.549068,103.85882
38,Pontianak,78243,-0.099983,109.330533,30911,-2.434015,104.583599
39,Pontianak,78243,-0.099983,109.330533,90911,-3.783826,120.104919
